PC1,PC2,PC3,PC4,PC5,label
-5.3206067,-0.18468906,-1.2174954,1.4891009,-0.8566203,Healthy
-0.29161203,0.33939788,0.27051333,1.2199384,1.0487893,Healthy
-0.65882564,-1.0545989,3.3200407,0.44674325,0.6061408,Healthy
-3.6038866,0.60379535,-0.1913608,-1.2408426,-1.2610528,Healthy
7.438659,0.2517024,-1.0311024,0.068231896,-0.34286076,Healthy
0.3897804,1.218889,0.14349145,0.9387279,1.9575545,Healthy
3.42911,1.0730385,0.42252573,0.20115642,0.274069,Healthy
3.3355708,1.5733811,0.69585276,-0.55684245,2.3496602,Healthy
4.3491435,-2.3527973,-0.06785181,-0.31974626,-0.22122748,Healthy
7.1103888,-2.937234,-1.057741,-1.0898962,-1.1396927,Healthy
2.0000305,-1.0270011,0.093846604,0.14813408,-0.24556097,Healthy
-1.8953674,-0.35365987,3.3191547,0.006190234,-0.21089588,Healthy
1.7521394,-0.30139208,1.2759545,0.40242466,-0.007626327,Healthy
0.05578795,1.4520688,0.9765045,0.014727692,-0.96414065,Healthy
2.5836077,-1.3883871,0.09539679,0.6584583,0.32207942,Healthy
2.3350713,-0.21212085,1.6902348,0.077189125,-1.2196697,Healthy
2.0013967,1.396816,-0.0034013751,1.3670363,1.4240487,Healthy
3.1107306,0.19711058,0.16067149,-0.6863046,-0.49208602,Healthy
-6.1190367,0.21515329,-1.6750592,-0.08464482,-1.2123132,Healthy
4.561383,1.7481289,0.10526091,-0.10545112,1.0065447,Healthy
1.6473937,0.2399207,1.2919242,0.36874336,-0.40936905,Healthy
1.1052109,-0.054851227,0.8084532,0.7915042,-0.08694371,Healthy
-0.14336446,-0.023217283,-0.04718144,1.3312801,-0.79266626,Healthy
-0.12879862,1.2074382,0.9910929,-0.4888001,-1.0600525,Unhealthy
-5.6691184,-0.3305536,-0.8262153,0.25550696,-0.09626699,Unhealthy
-2.249082,-0.102317594,0.7460819,-0.73000515,1.3404071,Unhealthy
-5.1197453,-0.1808738,-1.2750756,-0.05938639,-0.18258086,Unhealthy
-4.2403398,0.44133204,0.04326628,-1.7940063,-0.026959922,Unhealthy
-3.2292502,-1.009971,0.43461537,0.06578371,0.74426556,Unhealthy
-3.8466876,-0.26937437,-0.10501336,-0.013404548,0.960399,Unhealthy
